GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
545138396,SushiGo,3,GAME_OVER,62,0,2,92,BasicMCTS,60.0,54.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
1376458976,SushiGo,3,GAME_OVER,63,0,2,93,BasicMCTS,53.0,42.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
1195311045,SushiGo,3,GAME_OVER,60,0,2,94,BasicMCTS,49.0,50.0,Improved BasicMCTS,2,BasicMCTS,2,1,1,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,0
813477029,SushiGo,3,GAME_OVER,62,0,2,95,BasicMCTS,51.0,45.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1466178614,SushiGo,3,GAME_OVER,61,0,2,96,BasicMCTS,56.0,43.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-118322159,SushiGo,3,GAME_OVER,60,0,2,97,BasicMCTS,48.0,36.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1428166355,SushiGo,3,GAME_OVER,60,0,2,98,BasicMCTS,59.0,41.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
1144294523,SushiGo,3,GAME_OVER,61,0,2,99,BasicMCTS,70.0,53.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
2100098225,SushiGo,3,GAME_OVER,62,0,2,100,BasicMCTS,57.0,36.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
23994827,SushiGo,3,GAME_OVER,62,0,2,101,BasicMCTS,72.0,50.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
1662792176,SushiGo,3,GAME_OVER,61,0,2,102,BasicMCTS,68.0,47.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
2013120665,SushiGo,3,GAME_OVER,62,0,2,103,BasicMCTS,53.0,47.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1880183632,SushiGo,3,GAME_OVER,61,0,2,104,BasicMCTS,63.0,45.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1377239692,SushiGo,3,GAME_OVER,61,0,2,105,BasicMCTS,65.0,46.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
1795532617,SushiGo,3,GAME_OVER,61,0,2,106,BasicMCTS,62.0,52.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1548656463,SushiGo,3,GAME_OVER,63,0,2,107,BasicMCTS,56.0,41.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-653656736,SushiGo,3,GAME_OVER,62,0,2,108,BasicMCTS,49.0,55.0,Improved BasicMCTS,2,BasicMCTS,2,1,1,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,0
-400394132,SushiGo,3,GAME_OVER,63,0,2,109,BasicMCTS,53.0,44.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1422203009,SushiGo,3,GAME_OVER,62,0,2,110,BasicMCTS,62.0,48.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1113178468,SushiGo,3,GAME_OVER,63,0,2,111,BasicMCTS,57.0,47.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-175367348,SushiGo,3,GAME_OVER,60,0,2,112,BasicMCTS,58.0,54.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
1362911089,SushiGo,3,GAME_OVER,60,0,2,113,BasicMCTS,51.0,45.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-347120262,SushiGo,3,GAME_OVER,60,0,2,114,BasicMCTS,69.0,43.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
1416514647,SushiGo,3,GAME_OVER,61,0,2,115,BasicMCTS,52.0,40.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1570736736,SushiGo,3,GAME_OVER,60,0,2,116,BasicMCTS,51.0,42.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1532681659,SushiGo,3,GAME_OVER,61,0,2,117,BasicMCTS,59.0,52.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
2038358424,SushiGo,3,GAME_OVER,63,0,2,118,BasicMCTS,57.0,48.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
1950377550,SushiGo,3,GAME_OVER,60,0,2,119,BasicMCTS,56.0,58.0,Improved BasicMCTS,2,BasicMCTS,2,1,1,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,0
-389679841,SushiGo,3,GAME_OVER,60,0,2,120,BasicMCTS,47.0,61.0,Improved BasicMCTS,2,BasicMCTS,2,1,1,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,0
-1652369011,SushiGo,3,GAME_OVER,61,0,2,121,BasicMCTS,62.0,56.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
649728961,SushiGo,3,GAME_OVER,60,0,2,122,BasicMCTS,70.0,43.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
